ACCESSION NO,AUTHOR,TITLE,Subtitle,YEAR,PAGE,PUBLISHER,SOURCE,BILL NO ,DATE,PRICE,,ISBN,Edition,Subject,Accompanying Material,Pages,Publisher,Year,
JR0108,,Engaging English 3; Teachers Resource Book,,2016,196p.,Harper Collins,,,,,,978-93-51779-12-4,,English,,196,Harper Collins,2016,
JR0109,,Engaging English 3; Teachers Resource Book,,2016,196p.,Harper Collins,,,,,,978-93-51779-12-4,,English,,196,Harper Collins,2016,
JR0110,"Bose, Ruby",Revised Engaging English 4,,Revised;2022,152p.,Harper Collins,,,,554,,978-93-54890-22-2,,English,,152,Harper Collins,2022,
JR0111,"Bose, Ruby",Revised Engaging English 4,,Revised;2022,152p.,Harper Collins,,,,554,,978-93-54890-22-2,,English,,152,Harper Collins,2022,
JR0112,"Bose, Ruby and Gupta, Anju
",Revised Engaging English 5,,Revised;2022,160p.,Harper Collins,,,,565,,978-93-54890-23-9,,English,,160,Harper Collins,2022,
JR0113,"Bose, Ruby and Gupta, Anju
",Revised Engaging English 5,,Revised;2022,160p.,Harper Collins,,,,565,,978-93-54890-23-9,,English,,160,Harper Collins,2022,
JR0114,"Gupta, Satyasree",Senses 1: A Course in Enviornmental Science,,2024,112p.,Harper Collins,,,,385,,978-93-56994-84-3,,Enviornmental Studies,,112,Harper Collins,2024,
JR0115,"Gupta, Satyasree",Senses 1: A Course in Enviornmental Science,,2024,112p.,Harper Collins,,,,385,,978-93-56994-84-3,,Enviornmental Studies,,112,Harper Collins,2024,
JR0116,"Gupta, Satyasree",Senses 1; Teachers Manual,,2024,80p.,Harper Collins,,,,,,978-93-56992-97-9,,Enviornmental Studies,,80,Harper Collins,2024,
JR0117,"Gupta, Satyasree",Senses 1; Teachers Manual,,2024,80p.,Harper Collins,,,,,,978-93-56992-97-9,,Enviornmental Studies,,80,Harper Collins,2024,
JR0118,"Gupta, Satyasree",Senses 2: A Course in Enviornmental Science,,2024,120p.,Harper Collins,,,,425,,978-93-56995-01-7,,Enviornmental Studies,,120,Harper Collins,2024,
JR0119,"Gupta, Satyasree",Senses 2: A Course in Enviornmental Science,,2024,120p.,Harper Collins,,,,425,,978-93-56995-01-7,,Enviornmental Studies,,120,Harper Collins,2024,
JR0120,"Gupta, Satyasree",Senses 2; Teachers Manual,,2024,68p.,Harper Collins,,,,,,978-93-56992-73-3,,Enviornmental Studies,,68,Harper Collins,2024,
JR0121,"Gupta, Satyasree",Senses 2; Teachers Manual,,2024,68p.,Harper Collins,,,,,, 978-93-56992-73-3,,Enviornmental Studies,,68,Harper Collins,2024,
JR0122,"Koul, Abha",Senses 3: A Course in Enviornmental Science,,2024,170p.,Harper Collins,,,,,,978-93-56995-02-4,,Enviornmental Studies,,170,Harper Collins,2024,
JR0123,"Koul, Abha",Senses 3: A Course in Enviornmental Science,,2024,170p.,Harper Collins,,,,,,978-93-56995-02-4,,Enviornmental Studies,,170,Harper Collins,2024,
JR0124,"Koul, Abha",Senses 3; Teachers Manual,,2024,124p.,Harper Collins,,,,,,978-93-56992-64-1,,Enviornmental Studies,,124,Harper Collins,2024,
JR0125,"Koul, Abha",Senses 3; Teachers Manual,,2024,124p.,Harper Collins,,,,,,978-93-56992-64-1,,Enviornmental Studies,,124,Harper Collins,2024,
JR0126,"Koul, Abha",Senses 4: A Course in Enviornmental Science,,2024,,Harper Collins,,,,,,9789356995116,,Enviornmental Studies,,162,Harper Collins,2024,
JR0127,"Koul, Abha",Senses 4: A Course in Enviornmental Science,,2024,,Harper Collins,,,,,,9789356995116,,Enviornmental Studies,,162,Harper Collins,2024,
JR0128,"Koul, Abha",Senses 4; Teachers Manual,,2024,,Harper Collins,,,,,,9789356992474,,Enviornmental Studies,,120,Harper Collins,2024,
JR0129,"Koul, Abha",Senses 4; Teachers Manual,,2024,,Harper Collins,,,,,,9789356992474,,Enviornmental Studies,,120,Harper Collins,2024,
JR0130,,Cascade 5: A Course in Social Studies,,,,Harper Collins,,,,,,9789354890666,,Social Studies,,120,Harper Collins,2022,
JR0131,,Cascade 5: A Course in Social Studies,,,,Harper Collins,,,,,,9789354890666,,Social Studies,,120,Harper Collins,2022,
JR0132,,Cascade 5; Teachers Manual,,,,Harper Collins,,,,,,9789354890826,,Social Studies,,84,Harper Collins,2022,
JR0133,,Cascade 5; Teachers Manual,,,,Harper Collins,,,,,,9789354890826,,Social Studies,,84,Harper Collins,2022,
JR0134,,Collins Smart Tech 1,,,,Harper Collins,,,,,,9789390163083,,Computer Science,,72,Harper Collins,2022,
JR0135,,Collins Smart Tech 1,,,,Harper Collins,,,,,,9789390163083,,Computer Science,,72,Harper Collins,2022,
JR0136,,Collins Smart Tech 1,,,,Harper Collins,,,,,,9789390163083,,Computer Science,,72,Harper Collins,2022,
JR0137,,Collins Smart Tech 1; Teachers Manual,,,,Harper Collins,,,,,,9789390191222,,Computer Science,,40,Harper Collins,2021,
JR0138,,Collins Smart Tech 1; Teachers Manual,,,,Harper Collins,,,,,,9789390191222,,Computer Science,,40,Harper Collins,2021,
JR0139,,Collins Smart Tech 1; Teachers Manual,,,,Harper Collins,,,,,,9789390191222,,Computer Science,,40,Harper Collins,2021,
JR0140,,Collins Smart tech 2,,,,Harper Collins,,,,,,9789390163090,,Computer Science,,80,Harper Collins,2022,
JR0141,,Collins Smart tech 2,,,,Harper Collins,,,,,,9789390163090,,Computer Science,,80,Harper Collins,2022,
